id,transfer date,month,year,transfer season,from club name,to club name,transfer fee,market value,player name,,country,position,team,league,age,birth year,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG
386446,2024,7,13,24/25,Torino,Napoli,35000000,35000000,Alessandro Buongiorno,,it ITA,DF,Torino,it Serie A,24,1999,29,29,2527,28.1,3,0,3,3,0,0,7,0,1.6,1.6,0.1,1.7,14,62,10,0.11,0,0.11,0.11,0.11,0.06,0,0.06,0.06,0.06
351809,2024,7,27,24/25,Real Sociedad,Atlético Madrid,34500000,40000000,Robin Le Normand,,es ESP,DF,Real Sociedad,es La Liga,26,1996,29,28,2469,27.4,2,0,2,2,0,0,13,0,1,1,0.1,1.2,21,106,1,0.07,0,0.07,0.07,0.07,0.04,0,0.04,0.04,0.04
670858,2024,7,1,24/25,Chelsea,Newcastle,33000000,18000000,Lewis Hall,,eng ENG,DF,Newcastle Utd,eng Premier League,18,2004,18,8,781,8.7,1,0,1,1,0,0,2,0,0.3,0.3,0.3,0.6,19,46,27,0.12,0,0.12,0.12,0.12,0.04,0.03,0.07,0.04,0.07
338424,2024,8,27,24/25,Real Sociedad,Arsenal,32000000,50000000,Mikel Merino,,es ESP,MF,Real Sociedad,es La Liga,27,1996,32,27,2482,27.6,5,3,8,5,0,0,10,0,3.3,3.3,1.9,5.2,26,163,99,0.18,0.11,0.29,0.18,0.29,0.12,0.07,0.19,0.12,0.19
238407,2024,8,3,24/25,Villarreal,Atlético Madrid,32000000,25000000,Alexander Sørloth,,no NOR,FW,Villarreal,es La Liga,27,1995,34,30,2489,27.7,23,6,29,23,0,0,3,0,12.3,12.3,4.4,16.7,48,40,159,0.83,0.22,1.05,0.83,1.05,0.44,0.16,0.6,0.44,0.6
262749,2024,7,4,24/25,Brentford,Arsenal,31900000,35000000,David Raya,,es ESP,GK,Arsenal,eng Premier League,27,1995,32,32,2880,32,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
291200,2024,7,4,24/25,Nottm Forest,Olympique Lyon,31900000,16000000,Moussa Niakhaté,,sn SEN,DF,Nott'ham Forest,eng Premier League,27,1996,21,15,1460,16.2,1,0,1,1,0,0,5,1,1.1,1.1,0.1,1.2,13,39,6,0.06,0,0.06,0.06,0.06,0.07,0.01,0.08,0.07,0.08
392765,2024,8,2,24/25,Arsenal,Fulham,31800000,22000000,Emile Smith Rowe,,eng ENG,MF,Arsenal,eng Premier League,23,2000,13,3,353,3.9,0,1,1,0,0,0,0,0,2,2,0.2,2.2,11,23,18,0,0.25,0.25,0,0.25,0.5,0.06,0.56,0.5,0.56
700106,2024,8,14,24/25,1.FSV Mainz 05,Brighton,31500000,20000000,Brajan Gruda,,de GER,"MF,FW",Mainz 05,de Bundesliga,19,2004,28,19,1641,18.2,4,3,7,4,0,0,5,0,3.5,3.5,4.1,7.6,100,71,167,0.22,0.16,0.38,0.22,0.38,0.19,0.23,0.42,0.19,0.42
394300,2024,7,1,24/25,Sassuolo,Inter,31400000,35000000,Davide Frattesi,,it ITA,MF,Inter,it Serie A,23,1999,32,6,955,10.6,6,3,9,6,0,0,1,0,7.1,7.1,1.9,9,27,37,40,0.57,0.28,0.85,0.57,0.85,0.67,0.18,0.85,0.67,0.85
315969,2024,8,30,24/25,Man Utd,Napoli,30500000,32000000,Scott McTominay,,sct SCO,"MF,FW",Manchester Utd,eng Premier League,26,1996,32,18,1901,21.1,7,1,8,7,0,0,2,0,5.7,5.7,0.8,6.6,29,64,47,0.33,0.05,0.38,0.33,0.38,0.27,0.04,0.31,0.27,0.31
343537,2024,8,2,24/25,Girona,AS Roma,30500000,35000000,Artem Dovbyk,,ua UKR,FW,Girona,es La Liga,26,1997,36,32,2587,28.7,24,8,32,17,7,8,2,0,24.2,17.9,6.2,24.1,18,26,118,0.83,0.28,1.11,0.59,0.87,0.84,0.21,1.05,0.62,0.84
926952,2025,2,2,24/25,Lecce,Man Utd,30000000,20000000,Patrick Dorgu,,dk DEN,"DF,MF",Lecce,it Serie A,18,2004,32,17,1564,17.4,2,0,2,2,0,0,6,0,2,2,1.6,3.6,37,49,86,0.12,0,0.12,0.12,0.12,0.11,0.09,0.21,0.11,0.21
96341,2024,8,29,24/25,Chelsea,Napoli,30000000,30000000,Romelu Lukaku,,be BEL,FW,Roma,it Serie A,30,1993,32,30,2641,29.3,13,3,16,13,0,1,5,1,9.8,9,2.4,11.4,37,37,234,0.44,0.1,0.55,0.44,0.55,0.33,0.08,0.42,0.31,0.39
502676,2024,8,27,24/25,Valencia,Liverpool,30000000,45000000,Giorgi Mamardashvili,,ge GEO,GK,Valencia,es La Liga,22,2000,37,37,3284,36.5,0,0,0,0,0,0,3,1,0,0,0.4,0.4,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01
340324,2024,8,30,24/25,Arsenal,Crystal Palace,29700000,30000000,Eddie Nketiah,,eng ENG,FW,Arsenal,eng Premier League,24,1999,27,10,1082,12,5,2,7,5,0,0,3,0,4.5,4.5,0.8,5.4,22,20,77,0.42,0.17,0.58,0.42,0.58,0.38,0.07,0.45,0.38,0.45
260827,2024,8,23,24/25,Crystal Palace,Fulham,29500000,35000000,Joachim Andersen,,dk DEN,DF,Crystal Palace,eng Premier League,27,1996,38,38,3415,37.9,2,3,5,2,0,0,7,0,1.7,1.7,2.8,4.5,21,147,10,0.05,0.08,0.13,0.05,0.13,0.04,0.07,0.12,0.04,0.12
743498,2024,8,16,24/25,Burnley,Tottenham,29300000,10000000,Wilson Odobert,,fr FRA,"MF,FW",Burnley,eng Premier League,18,2004,29,25,2098,23.3,3,2,5,3,0,0,3,0,2.8,2.8,3.3,6.1,102,58,123,0.13,0.09,0.21,0.13,0.21,0.12,0.14,0.26,0.12,0.26
578392,2024,8,12,24/25,TSG Hoffenheim,Bor. Dortmund,28500000,30000000,Maximilian Beier,,de GER,"FW,MF",Hoffenheim,de Bundesliga,20,2002,33,29,2420,26.9,16,1,17,16,0,0,0,0,11.4,11.4,2.4,13.8,61,30,224,0.6,0.04,0.63,0.6,0.63,0.43,0.09,0.51,0.43,0.51
955070,2024,7,7,24/25,RWDM,Olympique Lyon,28500000,18000000,Ernest Nuamah,,gh GHA,"FW,MF",Lyon,fr Ligue 1,19,2003,29,21,1838,20.4,3,2,5,3,0,0,4,0,4,4,3.8,7.8,105,74,237,0.15,0.1,0.24,0.15,0.24,0.2,0.19,0.38,0.2,0.38
659542,2024,8,13,24/25,Lens,Marseille,27000000,35000000,Elye Wahi,,fr FRA,FW,Montpellier,fr Ligue 1,20,2003,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0.6,0.6,1,1,2,0,0,0,0,0,0,4.23,4.23,0,4.23
75489,2024,8,5,24/25,Bor. Dortmund,West Ham,27000000,15000000,Niclas Füllkrug,,de GER,FW,Werder Bremen,de Bundesliga,30,1993,2,2,180,2,0,0,0,0,0,0,0,0,0.5,0.5,0.3,0.7,2,9,12,0,0,0,0,0,0.23,0.13,0.36,0.23,0.36
339314,2024,8,9,24/25,Brighton,VfB Stuttgart,26700000,25000000,Deniz Undav,,de GER,"FW,MF",Stuttgart,de Bundesliga,27,1996,30,23,2089,23.2,18,10,28,18,0,1,5,0,15,14.3,6.5,20.8,45,120,182,0.78,0.43,1.21,0.78,1.21,0.65,0.28,0.93,0.61,0.9
659542,2025,1,24,24/25,Marseille,E. Frankfurt,26000000,25000000,Elye Wahi,,fr FRA,FW,Montpellier,fr Ligue 1,20,2003,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0.6,0.6,1,1,2,0,0,0,0,0,0,4.23,4.23,0,4.23
532826,2024,7,18,24/25,Man Utd,Marseille,26000000,25000000,Mason Greenwood,,eng ENG,"MF,FW",Getafe,es La Liga,21,2001,33,30,2662,29.6,8,6,14,6,2,3,6,1,8.8,6.4,4.6,11,127,89,239,0.27,0.2,0.47,0.2,0.41,0.3,0.15,0.45,0.22,0.37
